OrderDetailID,OrderID,ProductID,Quantity,Discount
OD00001,O0001,P018,3,15
OD00002,O0001,P038,5,5
OD00003,O0001,P044,3,20
OD00004,O0002,P028,2,5
OD00005,O0003,P015,4,20
OD00006,O0003,P045,2,0
OD00007,O0003,P004,2,5
OD00008,O0004,P031,3,0
OD00009,O0004,P029,5,0
OD00010,O0004,P028,5,5
OD00011,O0004,P039,1,10
OD00012,O0005,P036,1,20
OD00013,O0005,P025,1,20
OD00014,O0005,P009,1,0
OD00015,O0005,P003,3,0
OD00016,O0006,P048,3,0
OD00017,O0006,P013,2,5
OD00018,O0006,P005,2,0
OD00019,O0006,P030,3,15
OD00020,O0006,P044,3,15
OD00021,O0007,P014,3,0
OD00022,O0007,P024,1,20
OD00023,O0007,P036,5,20
OD00024,O0007,P025,2,10
OD00025,O0007,P048,1,0
OD00026,O0008,P007,3,10
OD00027,O0008,P043,5,10
OD00028,O0008,P006,5,0
OD00029,O0009,P011,1,0
OD00030,O0009,P048,1,20
OD00031,O0010,P018,1,20
OD00032,O0011,P012,1,10
OD00033,O0011,P048,4,0
OD00034,O0011,P026,2,15
OD00035,O0012,P001,2,20
OD00036,O0012,P037,5,10
OD00037,O0013,P027,4,15
OD00038,O0013,P005,1,0
OD00039,O0013,P023,1,15
OD00040,O0013,P002,3,5
OD00041,O0013,P037,3,20
OD00042,O0014,P039,2,5
OD00043,O0015,P043,5,10
OD00044,O0016,P027,4,0
OD00045,O0017,P008,3,20
OD00046,O0018,P032,3,15
OD00047,O0018,P050,2,20
OD00048,O0019,P017,1,15
OD00049,O0019,P022,3,0
OD00050,O0019,P026,2,15
OD00051,O0020,P037,3,20
OD00052,O0020,P023,5,10
OD00053,O0021,P016,2,15
OD00054,O0021,P004,2,20
OD00055,O0021,P012,4,20
OD00056,O0022,P001,3,0
OD00057,O0022,P019,2,20
OD00058,O0022,P010,5,10
OD00059,O0022,P004,4,5
OD00060,O0023,P046,2,20
OD00061,O0023,P039,4,0
OD00062,O0023,P005,1,5
OD00063,O0023,P028,3,5
OD00064,O0024,P031,1,20
OD00065,O0024,P037,1,5
OD00066,O0025,P025,1,20
OD00067,O0025,P030,3,15
OD00068,O0025,P036,5,0
OD00069,O0025,P024,3,15
OD00070,O0026,P013,1,20
OD00071,O0026,P044,1,20
OD00072,O0026,P040,1,15
OD00073,O0026,P004,3,0
