OrderID,CustomerID,OrderDate,PaymentMode,Region
O0001,C475,2024-06-17,Cash,North
O0002,C321,2024-02-18,UPI,South
O0003,C467,2023-04-03,Debit Card,North
O0004,C152,2024-05-12,Cash,North
O0005,C339,2024-10-18,Net Banking,North
O0006,C144,2024-03-25,Cash,South
O0007,C200,2024-01-14,Net Banking,South
O0008,C296,2023-06-16,Net Banking,East
O0009,C111,2024-12-08,Cash,West
O0010,C036,2023-10-24,UPI,West
O0011,C108,2024-09-20,Debit Card,West
O0012,C332,2023-08-15,Cash,West
O0013,C020,2024-10-23,Cash,West
O0014,C134,2023-04-07,Debit Card,East
O0015,C294,2023-09-05,Cash,North
O0016,C139,2023-12-15,Debit Card,East
O0017,C292,2024-08-28,Credit Card,North
O0018,C488,2023-10-02,Credit Card,North
O0019,C200,2024-04-26,Credit Card,South
O0020,C483,2023-12-17,UPI,North
O0021,C500,2023-02-08,UPI,South
O0022,C121,2023-01-04,Net Banking,South
O0023,C487,2023-12-14,Debit Card,West
O0024,C256,2024-02-22,UPI,West
O0025,C154,2024-01-23,Debit Card,South
O0026,C125,2023-07-27,Credit Card,West
O0027,C358,2023-01-10,Net Banking,West
O0028,C407,2024-04-01,Cash,South
O0029,C323,2024-05-04,Net Banking,South
O0030,C337,2024-03-21,UPI,South
O0031,C381,2023-12-23,Debit Card,South
O0032,C420,2023-07-17,Credit Card,South
O0033,C380,2023-10-23,Net Banking,West
O0034,C158,2024-01-26,Debit Card,West
O0035,C474,2023-06-13,UPI,North
O0036,C111,2023-02-18,Net Banking,West
O0037,C017,2023-08-01,Cash,South
O0038,C041,2024-03-02,Debit Card,North
O0039,C063,2024-07-26,Credit Card,North
O0040,C076,2023-03-19,Cash,East
O0041,C416,2024-01-26,Net Banking,North
O0042,C290,2023-01-07,Net Banking,South
O0043,C295,2024-11-06,Cash,South
O0044,C345,2024-12-16,UPI,East
O0045,C299,2024-05-09,Debit Card,West
O0046,C225,2024-05-08,Credit Card,West
O0047,C017,2023-01-15,Net Banking,South
O0048,C347,2024-04-18,Net Banking,West
O0049,C265,2023-09-22,Cash,South
O0050,C380,2023-04-24,Debit Card,West
O0051,C410,2024-06-15,Credit Card,West
O0052,C337,2023-06-02,Credit Card,South
O0053,C260,2023-04-10,Net Banking,North
O0054,C367,2024-03-03,Credit Card,North
O0055,C350,2024-02-12,Debit Card,South
O0056,C471,2024-12-20,Net Banking,South
O0057,C500,2023-01-15,Net Banking,South
O0058,C084,2024-07-22,UPI,East
O0059,C347,2024-11-25,Cash,West
O0060,C327,2024-01-10,UPI,West
O0061,C078,2024-10-28,Net Banking,South
O0062,C045,2024-05-21,Credit Card,North
O0063,C092,2024-01-27,Credit Card,West
O0064,C292,2024-06-18,UPI,North
O0065,C228,2024-09-03,Net Banking,North
O0066,C400,2024-09-11,Cash,East
O0067,C317,2024-09-23,Credit Card,West
O0068,C211,2024-02-19,Debit Card,South
O0069,C305,2023-10-23,Cash,South
O0070,C102,2023-05-04,Debit Card,North
O0071,C331,2024-05-12,Credit Card,South
O0072,C189,2023-08-08,Cash,North
O0073,C375,2023-11-28,Net Banking,North
O0074,C186,2023-07-14,Debit Card,South
O0075,C243,2023-10-10,Debit Card,West
O0076,C206,2024-08-27,UPI,West
O0077,C355,2023-07-27,UPI,West
O0078,C185,2024-04-27,Cash,South
O0079,C095,2023-07-12,UPI,North
O0080,C466,2024-05-26,Debit Card,South
O0081,C094,2024-12-26,Debit Card,North
O0082,C156,2024-10-16,Debit Card,North
O0083,C030,2024-09-24,Cash,South
O0084,C131,2024-04-05,Cash,West
O0085,C123,2023-08-21,Cash,West
O0086,C421,2023-01-25,UPI,South
O0087,C187,2023-12-12,Credit Card,West
O0088,C254,2023-03-01,Net Banking,South
O0089,C203,2024-10-19,Cash,South
O0090,C065,2024-09-12,Debit Card,West
O0091,C025,2023-07-05,UPI,West
O0092,C212,2023-03-04,Net Banking,North
O0093,C447,2023-01-05,UPI,South
O0094,C188,2024-10-15,Net Banking,North
O0095,C309,2024-10-10,Debit Card,West
O0096,C271,2023-07-19,Net Banking,North
O0097,C199,2024-11-12,Cash,South
O0098,C382,2024-11-07,Credit Card,South
O0099,C199,2023-07-12,Cash,South
O0100,C220,2023-09-14,UPI,North
O0101,C368,2023-06-07,Net Banking,North
O0102,C037,2024-03-10,UPI,South
O0103,C094,2024-04-12,Debit Card,North
O0104,C111,2024-08-14,UPI,West
O0105,C307,2023-05-28,Credit Card,West
O0106,C467,2023-09-16,Credit Card,North
O0107,C366,2023-12-28,Credit Card,South
O0108,C166,2023-10-17,Debit Card,North
O0109,C121,2023-08-08,Net Banking,South
O0110,C409,2024-01-09,Net Banking,East
O0111,C421,2024-01-18,Cash,South
O0112,C389,2023-02-24,Net Banking,South
O0113,C346,2023-04-14,UPI,North
O0114,C105,2024-09-28,Cash,North
O0115,C279,2024-11-05,Credit Card,East
O0116,C336,2024-06-22,Credit Card,North
O0117,C435,2024-11-19,UPI,West
O0118,C168,2023-08-14,Credit Card,West
O0119,C194,2024-11-11,Cash,North
O0120,C277,2023-10-01,Credit Card,South
O0121,C330,2023-10-26,Credit Card,South
O0122,C003,2023-07-12,Cash,West
O0123,C327,2024-11-27,UPI,West
O0124,C468,2023-09-25,Cash,North
O0125,C379,2024-10-06,Debit Card,West
O0126,C029,2023-12-22,Net Banking,East
O0127,C050,2024-08-16,Cash,South
O0128,C200,2023-11-05,Cash,South
O0129,C301,2024-03-16,Debit Card,West
O0130,C007,2023-11-23,Cash,North
O0131,C232,2023-03-22,Cash,South
O0132,C343,2024-07-24,Net Banking,South
O0133,C499,2023-09-02,Debit Card,North
O0134,C475,2023-02-12,Cash,North
O0135,C030,2024-09-01,Cash,South
O0136,C353,2023-05-27,Debit Card,South
O0137,C238,2024-04-06,Debit Card,West
O0138,C134,2024-10-25,Cash,East
O0139,C195,2024-09-23,Debit Card,West
O0140,C159,2023-08-20,Credit Card,South
O0141,C100,2023-05-03,UPI,West
O0142,C453,2024-05-19,UPI,South
O0143,C106,2023-06-09,Debit Card,South
O0144,C032,2023-02-26,Credit Card,North
O0145,C145,2023-12-25,Cash,South
O0146,C245,2024-12-20,Cash,North
O0147,C433,2023-09-04,UPI,East
O0148,C452,2024-01-27,Cash,West
O0149,C373,2024-04-28,Credit Card,South
O0150,C321,2024-02-08,UPI,South
O0151,C337,2024-09-20,Net Banking,South
O0152,C030,2024-02-22,Net Banking,South
O0153,C347,2023-11-02,Cash,West
O0154,C218,2023-12-25,Cash,North
O0155,C483,2023-01-08,UPI,North
O0156,C289,2023-08-17,Credit Card,West
O0157,C079,2024-08-24,UPI,North
O0158,C100,2023-11-01,Debit Card,West
O0159,C239,2024-08-13,Debit Card,South
O0160,C426,2024-09-21,Net Banking,East
O0161,C349,2024-12-23,Net Banking,North
O0162,C071,2023-02-05,Cash,South
O0163,C143,2023-07-14,Debit Card,South
O0164,C292,2024-10-20,UPI,North
O0165,C330,2024-08-28,Debit Card,South
O0166,C163,2023-06-01,Debit Card,North
O0167,C289,2024-09-06,UPI,West
O0168,C449,2024-03-01,Debit Card,South
O0169,C260,2023-01-14,Cash,North
O0170,C422,2023-07-14,UPI,West
O0171,C115,2024-09-08,Credit Card,North
O0172,C176,2023-08-01,Cash,South
O0173,C192,2024-08-19,Net Banking,North
O0174,C447,2024-10-06,Credit Card,South
O0175,C169,2024-04-28,Credit Card,North
O0176,C181,2024-11-11,Credit Card,West
O0177,C039,2024-04-23,Debit Card,West
O0178,C261,2023-11-26,Net Banking,West
O0179,C401,2024-12-19,Cash,West
O0180,C444,2023-11-21,Debit Card,West
O0181,C299,2024-04-28,Net Banking,West
O0182,C406,2024-09-02,Debit Card,South
O0183,C344,2023-02-11,Net Banking,North
O0184,C330,2024-01-24,Net Banking,South
O0185,C432,2024-05-26,Credit Card,West
O0186,C272,2023-01-15,UPI,South
O0187,C344,2023-12-15,UPI,North
O0188,C166,2024-08-02,UPI,North
O0189,C305,2023-03-13,UPI,South
O0190,C500,2023-11-27,UPI,South
O0191,C119,2024-08-24,UPI,South
O0192,C457,2024-03-20,Net Banking,North
O0193,C108,2023-10-24,UPI,West
O0194,C090,2024-12-08,UPI,South
O0195,C252,2023-02-22,Net Banking,South
O0196,C254,2024-02-20,UPI,South
O0197,C380,2023-06-03,Credit Card,West
O0198,C229,2023-10-05,UPI,North
O0199,C197,2024-07-17,Net Banking,West
O0200,C067,2024-04-23,Net Banking,North
O0201,C009,2024-12-27,Debit Card,North
